arxiv_id,title,published
2403.02075v2,DiffMOT: A Real-time Diffusion-based Multiple Object Tracker with Non-linear Prediction,2024-03-04T14:21:51Z
2403.05839v3,Long-Term Visual Object Tracking with Event Cameras: An Associative Memory Augmented Tracker and A Benchmark Dataset,2024-03-09T08:49:50Z
2403.10826v2,MambaMOT: State-Space Model as Motion Predictor for Multi-Object Tracking,2024-03-16T06:26:52Z
2404.05518v1,DepthMOT: Depth Cues Lead to a Strong Multi-Object Tracker,2024-04-08T13:39:12Z
2405.10439v1,Beyond Traditional Single Object Tracking: A Survey,2024-05-16T20:55:31Z
2405.14200v2,Awesome Multi-modal Object Tracking,2024-05-23T05:58:10Z
2405.17773v2,XTrack: Multimodal Training Boosts RGB-X Video Object Trackers,2024-05-28T03:00:58Z
2406.20024v3,eMoE-Tracker: Environmental MoE-based Transformer for Robust Event-guided Object Tracking,2024-06-28T16:13:55Z
2407.00738v1,Engineering an Efficient Object Tracker for Non-Linear Motion,2024-06-30T15:50:54Z
2407.08394v2,Diff-Tracker: Text-to-Image Diffusion Models are Unsupervised Trackers,2024-07-11T10:57:33Z
2407.10485v3,MM-Tracker: Motion Mamba with Margin Loss for UAV-platform Multiple Object Tracking,2024-07-15T07:13:27Z
2407.15707v1,Predicting the Best of N Visual Trackers,2024-07-22T15:17:09Z
2408.07344v1,RTAT: A Robust Two-stage Association Tracker for Multi-Object Tracking,2024-08-14T07:37:24Z
2408.15548v1,ConsistencyTrack: A Robust Multi-Object Tracker with a Generation Strategy of Consistency Model,2024-08-28T05:53:30Z
2409.07904v1,FACT: Feature Adaptive Continual-learning Tracker for Multiple Object Tracking,2024-09-12T10:14:48Z
2411.17468v1,Adversarial Bounding Boxes Generation (ABBG) Attack against Visual Object Trackers,2024-11-26T14:30:36Z
2501.02467v1,DeTrack: In-model Latent Denoising Learning for Visual Object Tracking,2025-01-05T07:28:50Z
2502.18143v1,LightFC-X: Lightweight Convolutional Tracker for RGB-X Tracking,2025-02-25T12:10:33Z
2504.01457v1,Deep LG-Track: An Enhanced Localization-Confidence-Guided Multi-Object Tracker,2025-04-02T08:10:18Z
2505.00752v2,DARTer: Dynamic Adaptive Representation Tracker for Nighttime UAV Tracking,2025-05-01T05:24:14Z
2507.23251v1,A Deep Dive into Generic Object Tracking: A Survey,2025-07-31T05:19:26Z
2508.11531v1,Multi-State Tracker: Enhancing Efficient Object Tracking via Multi-State Specialization and Interaction,2025-08-15T15:19:39Z
2511.22896v1,DM$^3$T: Harmonizing Modalities via Diffusion for Multi-Object Tracking,2025-11-28T06:02:58Z
2512.07385v1,How Far are Modern Trackers from UAV-Anti-UAV? A Million-Scale Benchmark and New Baseline,2025-12-08T10:19:54Z
2604.00452v1,"Out of Sight, Out of Track: Adversarial Attacks on Propagation-based Multi-Object Trackers via Query State Manipulation",2026-04-01T04:04:45Z
2605.26933v1,Leveraging Text-to-Image Diffusion Models for Unsupervised Visual Object Tracking,2026-05-26T12:26:56Z
2606.02724v1,AVTrack: Audio-Visual Tracking in Human-centric Complex Scenes,2026-06-01T18:00:08Z
2606.05587v1,HDST-GNN: Heterogeneous Dynamic Spatiotemporal Graph Neural Networks for Multi-Object Tracking in UAV Aerial Imagery,2026-06-04T02:04:52Z
2606.14094v1,FEMOT: Multi-Object Tracking using Frame and Event Cameras,2026-06-12T04:17:41Z
2606.23604v4,Polycepta: Object-Centric Appearance Estimation for Multi-Object Tracking,2026-06-22T17:06:32Z
2606.26455v1,Active Adversarial Perturbation-driven Associative Memory Retrieval for RGB-Event Visual Object Tracking,2026-06-24T23:34:06Z
2606.29783v1,FalconTrack: Photorealistic Auto-Labeled Perception and Physics-Aware Vision-Based Aerial Tracking,2026-06-29T05:03:57Z
2607.01395v1,Rethinking Generic Object Tracking Toward Human-Level Perceptual Intelligence,2026-07-01T18:54:00Z
2607.14726v1,AE-UAV: An Air-to-Air Event-Based UAV Tracking Benchmark and a Real-Time Frequency-Domain Tracker,2026-07-16T08:53:24Z
2607.17120v1,The generator is the tracker: Multi-object tracking by painting persistent identity colours,2026-07-19T08:11:44Z
2607.23209v1,Counterfactual Motion Reliability Learning for Robust UAV Tracking,2026-07-25T14:01:25Z
2607.24701v1,Spatio-Temporal Conditional Denoising Transformer for Modality-Missing RGBT Tracking,2026-07-27T17:44:00Z
2607.25239v1,CD-RMOT-Bench: Benchmarking the Cross-Domain Referring Multi-Object Tracking,2026-07-28T03:29:19Z
2607.26511v1,Semantic-Aware Temporal Adaptation for UAV Anti-UAV Tracking,2026-07-29T06:22:03Z
2608.00847v1,Models as Tools: An Agentic Coordination Framework for Unified Multimodal Visual Tracking,2026-08-01T19:58:09Z
2608.01807v1,Parameter-Dynamic Adaptive Fusion and Calibration Network for RGBT Tracking,2026-08-03T07:15:57Z
2608.06773v1,AnyTrack: Unifying Visual Object Tracking with Any Modalities,2026-08-07T03:47:34Z
2608.08016v1,EgoTrack3D: A Modular Framework for Egocentric 3D Object Tracking,2026-08-08T08:53:54Z
2608.09575v1,MSP-Net: Manifold-Guided Spectral Prompt Network for Hyperspectral Object Tracking,2026-08-10T13:09:25Z
2608.09581v1,GenTrack3: Hybrid Stochastic-Deterministic Online Multi-Object Tracking with Cluster-Aware Association,2026-08-10T13:16:17Z
2608.10790v1,MVTrack: Ultrafast Appearance-Free Moving Object Tracking from Compressed Bitstreams,2026-08-11T10:53:22Z
2608.15688v1,Training-Free Long-Term Multi-Object Tracking for Sports Video Analytics,2026-08-16T11:33:00Z
2608.24365v1,MaST: Motion-aware Sparse Pipeline for Lightweight Object Tracking,2026-08-25T10:25:15Z
2608.29126v1,Efficient Language-to-Vision Feature Injection for Referring Single-Object Tracking,2026-08-29T08:09:08Z
2609.00924v1,Beyond the Image Plane: World-Grounded Queries for Multi-Object Tracking,2026-09-01T08:48:14Z
2609.02318v1,YesTrack: Referring Multi-Object Tracking via MLLM-based Yes/No Verification,2026-09-02T09:04:43Z
2609.06302v1,CST-WM: A Causally Structured World Model for Embodied Visual Tracking,2026-09-05T23:24:32Z
2609.07070v1,Continuous Token-Level Spatio-Temporal Context Modeling for Visual Object Tracking,2026-09-07T05:57:19Z
2609.07547v1,Re-engineering SORT-based algorithms for low-cost small object tracking from omnidirectional footage,2026-09-07T14:29:21Z
2609.07738v1,TFTrack: A Template-Free Framework for Efficient 3D Point Cloud Tracking,2026-09-07T16:43:18Z
2609.08265v1,Tracking-by-detection in Multi-object Tracking: Survey and Experiments,2026-09-08T05:11:40Z
2609.12261v1,Revisiting Multi-Object Tracking Baselines: Hyperparameter Optimization with Multi-Fidelity Greedy Coordinate Search,2026-09-10T22:36:08Z
2609.15171v1,EECTracker: Swarm Motion Prior-Guided Feature Compensation for Airborne Optical UAV Swarm Tracking,2026-09-14T07:57:47Z
2609.16662v1,SAVTrack: Selective Vote Aggregation for Reliability-Aware Point Cloud Tracking,2026-09-15T05:36:13Z
2609.16695v1,MAETrack: Unleashing the Potential of Pretrained Geometric Priors for 3D Single Object Tracking,2026-09-15T06:21:44Z
2609.17427v1,Tracking the Unseen: An Occlusion-Robust Framework for Target Tracking Under Full and Long-Term Occlusion,2026-09-15T16:41:57Z
